"id","SehirIlceMahalleAdi","UstID","minlongitude","minlatitude","maxlongitude","maxlatitude","MahalleID"
29472,DEĞİRMEN BAŞI (GÜZLÜK),1554,33.356681,41.041103,33.377795,41.052237,
29473,DEMİRCİ (CELEPLER),1554,33.044476,41.162533,33.065438,41.177025,
29474,DERE (GÜZLÜK),1554,33.334279,41.047479,33.356681,41.053661,
29475,DEREKIŞLA (SERDAR),1554,33.476458,41.304892,33.493280,41.333772,
29476,DERELER (YENİCE),1554,33.318335,41.217999,33.330672,41.228727,
29477,DİPHAN (ÇUKURPELİT),1554,33.431121,41.283843,33.464456,41.296948,
29478,DORUK (YUKARIOBA),1554,33.260336,41.175004,33.269820,41.186680,
29479,DURAKLAR (YUKARIOBA),1554,33.248277,41.185461,33.254038,41.189135,
29480,DURMUŞOĞLU (KIYIDİBİ),1554,33.142624,41.162671,33.145586,41.164529,
29481,EBULEYS (KIYAN),1554,33.167810,41.227555,33.180642,41.236656,
29482,ELMAÇUKURU (GÜZLÜK),1554,33.376036,41.042721,33.399982,41.066604,
29483,EREKLİ (EREKLİ),1554,33.156009,41.236898,33.173218,41.254775,
29484,ESİR (AVLACIK),1554,33.258574,41.365274,33.319170,41.386763,
29485,EYNİBEY (EKİNÖZÜ),1554,33.225403,41.177362,33.246345,41.189345,
29486,FINDICAK (AVLACIK),1554,33.295868,41.375842,33.319170,41.405363,
29487,GEMİCİ (ALINÖREN),1554,33.439113,41.246993,33.467812,41.261442,
29488,GERİŞ-YAYLA EVİ (SUSUZ),1554,33.319040,41.102493,33.335359,41.111651,
29489,GÖKCEOĞLU (ÇUKURPELİT),1554,33.445504,41.267373,33.464456,41.288469,
29490,GÖYNÜK (ULUCAK),1554,33.256403,41.269014,33.287519,41.318167,
29491,GÜZLÜK (GÜZLÜK),1554,33.359249,41.058314,33.375783,41.064627,
29492,HARMANCIK (CEVİZLİK),1554,33.232012,41.269014,33.261341,41.298246,
29493,HASBEYLER (ÇAYKAŞI),1554,33.057850,41.141179,33.076310,41.147397,
29494,HATİP (ÇAVUŞ),1554,33.258340,41.073031,33.264556,41.077897,
29495,HIZAR (ALINÖREN),1554,33.428628,41.220551,33.436612,41.225101,
29496,İĞDİR (YUKARIÇOBANÖZÜ),1554,33.082519,41.239102,33.119803,41.279005,
29497,İNÖNÜ,1554,33.306989,41.237815,33.325583,41.281628,
29498,İSPİROĞLU (TAVŞANLI),1554,33.243673,41.074885,33.248401,41.077903,
29499,KADIKÖY (SERDAR),1554,33.464456,41.281400,33.511503,41.297365,
29500,KAPILLI (ÇALKÖY),1554,33.284644,41.294104,33.307580,41.328380,
29501,KARAÇALILIK (SAMATLAR),1554,33.103706,41.225280,33.113480,41.233026,
29502,KARANDI (AVLACIK),1554,33.258574,41.341549,33.319545,41.365274,
29503,KARARECEP (DEREÇATI),1554,33.338736,41.200607,33.351693,41.219053,
29504,KARASU (AKGEÇİT),1554,32.920753,41.179612,32.962165,41.214698,
29505,KARAYOLLARI ALTI (SÜMENLER),1554,33.261726,41.044980,33.321737,41.082413,
29506,KAVURGA (ULUCAK),1554,33.217681,41.300297,33.278583,41.348122,
29507,KAYAKISIĞI (SARIHACI),1554,33.340373,41.061314,33.366916,41.076569,
29508,KİRECCİK (GEMİ),1554,33.418708,41.332271,33.445834,41.340539,
29509,KIŞLA (KIŞLAKÖY),1554,33.310289,41.038966,33.336661,41.054437,
29510,KIŞLA (KOVANLI),1554,33.349872,41.028055,33.358226,41.037380,
29511,KIŞLA (MURATLI),1554,33.413415,41.053531,33.428779,41.061718,
